date,date,total number of dead and missing,migration route,cause of death category,label_level
2016-09-01,2016-09-01,14.0,afghanistan to iran,environmental conditions and accidents,level2
2017-01-01,2017-01-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-01-01,2017-01-01,1.0,afghanistan to iran,violence and related causes,level2
2017-01-01,2017-01-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-01-01,2017-01-01,1.0,afghanistan to iran,violence and related causes,level2
2017-01-01,2017-01-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-02-01,2017-02-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-02-01,2017-02-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-02-01,2017-02-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-02-01,2017-02-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-02-01,2017-02-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-03-01,2017-03-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-03-01,2017-03-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-04-01,2017-04-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-04-01,2017-04-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-04-01,2017-04-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-04-01,2017-04-01,3.0,afghanistan to iran,environmental conditions and accidents,level2
2017-04-01,2017-04-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,violence and related causes,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-05-01,2017-05-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-06-01,2017-06-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-06-01,2017-06-01,1.0,afghanistan to iran,violence and related causes,level2
2017-07-01,2017-07-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-07-01,2017-07-01,1.0,afghanistan to iran,violence and related causes,level2
2017-07-01,2017-07-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-07-01,2017-07-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-07-01,2017-07-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,violence and related causes,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,violence and related causes,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,violence and related causes,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-08-01,2017-08-01,1.0,afghanistan to iran,violence and related causes,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,23.0,afghanistan to iran,violence and related causes,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,violence and related causes,level2
2017-09-01,2017-09-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-10-01,2017-10-01,1.0,afghanistan to iran,violence and related causes,level2
2017-10-01,2017-10-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-10-01,2017-10-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-10-01,2017-10-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-10-01,2017-10-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-10-01,2017-10-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-10-01,2017-10-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-10-01,2017-10-01,1.0,afghanistan to iran,violence and related causes,level2
2017-10-01,2017-10-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,violence and related causes,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,violence and related causes,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,violence and related causes,level2
2017-11-01,2017-11-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,5.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2017-12-01,2017-12-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2018-08-01,2018-08-01,5.0,afghanistan to iran,environmental conditions and accidents,level2
2019-04-01,2019-04-01,2.0,afghanistan to iran,violence and related causes,level2
2019-11-01,2019-11-01,33.0,afghanistan to iran,environmental conditions and accidents,level2
2019-01-01,2019-01-01,1.0,afghanistan to iran,environmental conditions and accidents,level2
2019-01-01,2019-01-01,1.0,afghanistan to iran,accidental death,level2
2019-03-01,2019-03-01,1.0,afghanistan to iran,accidental death,level2
2019-03-01,2019-03-01,1.0,afghanistan to iran,health-related causes,level2
2019-03-01,2019-03-01,1.0,afghanistan to iran,health-related causes,level2
2019-03-01,2019-03-01,1.0,afghanistan to iran,accidental death,level2
2019-03-01,2019-03-01,2.0,afghanistan to iran,accidental death,level2
