name,categories,lat,lng,address
Whataburger,Burger Joint,26.24202247849028,-98.23961936318028,4017 N 23rd St
The Loretto Bistro - Coffee - Events,Café,26.227470680076276,-98.30470051608285,1233 E Griffin Pkwy
Tea Rush Express,Café,26.260776388505473,-98.22068901124615,6401N. 10th St.
H-E-B,Grocery Store,26.2664375,-98.2183456,901 Trenton Rd
Cracker Barrel Old Country Store,American Restaurant,26.19422647343386,-98.26500269472051,3817 W Expressway 83
Bar-B-Cutie,BBQ Joint,26.271677498183035,-98.2189411721159,7517 N 10th St
Dress Code Nightclub,Night Club,26.231274050340904,-98.2066537890795,3300 N McColl Rd
Jason's Deli,Deli,26.239383961502984,-98.21422685340504,4100 N 2nd St Ste 100
Chick-fil-A,Fast Food Restaurant,26.3027191,-98.1759106,1360 W University Dr
Whataburger,Burger Joint,26.19479869737749,-98.28257252276046,2510 E Interstate Highway 2
Five Guys,Burger Joint,26.1939621,-98.2642255,3701 Expressway 83
Koko's Uptown Cafe,Mexican Restaurant,26.25880726971931,-98.22009429058366,6100 N 10th St
Corner Bakery Cafe,Bakery,26.195997,-98.260453,"3400 W. Expressway 83, Ste 780"
Sprouts Farmers Market,Farmers Market,26.256431,-98.21982,5800 N 10th St
Target,Big Box Store,26.197320338344593,-98.28362354740048,2427 E Expressway 83
Barnes & Noble,Bookstore,26.19596087974572,-98.25937094145095,3300 E Expressway 83 #1100
Breadsmith Bakery,Bakery,26.240885126535463,-98.22432310225481,4105 N 10th St
Hobby Lobby,Arts and Crafts Store,26.271811,-98.215498,7600 N 10th St Ste 300
The Flying Walrus,Bar,26.20262493526942,-98.23824998961437,204 S 17th St
Corner Bakery Cafe,Bakery,26.240738,-98.224462,"4021 N 10th St, Ste C4"
Anitas Cafe,Mexican Restaurant,26.326673527188944,-98.1901311167493,2701-2799 Fran Boyllan St
Rudy's Country Store & Barbeque,BBQ Joint,26.23295711250325,-98.18013668060303,209 W Nolana Loop
Chick-fil-A,Fast Food Restaurant,26.1961958,-98.2830267,2501 E Interstate Highway 2
Whataburger,Burger Joint,26.20555378,-98.2447169,2225 US-83
Best Buy,Electronics Store,26.196348,-98.26253,3400 W Expressway 83
H-E-B plus!,Grocery Store,26.198092,-98.2858952,2409 E Expressway 83
Pappadeaux Seafood Kitchen,Seafood Restaurant,26.2030028,-98.1997742,1610 W Interstate 2
Academy Sports + Outdoors,Sporting Goods Retail,26.1931061,-98.2663408,3901 Expressway 83
Starbucks,Coffee Shop,26.19503724,-98.2714725,4317 Expressway 83
University Drafthouse,Sports Bar,26.306303055547563,-98.18944634674567,2405 W University Dr
BJ's Restaurant & Brewhouse,American Restaurant,26.1950693,-98.259328,3200 West Expressway 83
Target,Big Box Store,26.268523074365902,-98.21646952833404,7400 N 10th St
T.J. Maxx,Department Store,26.197707,-98.284801,2417 E Interstate Highway 2
Whataburger,Burger Joint,26.1904738,-98.2315248,1419 S 10th St
Whataburger,Burger Joint,26.205911057571765,-98.18127393722528,100 E Interstate 2
Target,Big Box Store,26.186577315010805,-98.2136153403789,708 E Expressway 83
Chick-fil-A,Fast Food Restaurant,26.1953716,-98.2041778,2023 W Interstate 2
Chick-fil-A,Fast Food Restaurant,26.2694104,-98.218304,7340 N 10th St
Disney Store,Toy Store,26.185818558435763,-98.23563904662706,2200 S 10th St
Taco Palenque,Mexican Restaurant,26.194490002873977,-98.28435301462859,2420 E Expressway 83
Victoria's Secret,Lingerie Store,26.185104925780482,-98.23533034113284,2200 S 10th St
Best Buy,Electronics Store,26.1931791,-98.2057626,700 S Jackson Rd
Kurai,Asian Restaurant,26.18455107713505,-98.20610689024876,1201 S Jackson Rd
Cinemark,Movie Theater,26.205020210256432,-98.2012934688442,600 N Jackson Rd
Academy Sports + Outdoors,Sporting Goods Retail,26.2013642,-98.2021358,500 North Jackson Road
Palms Crossing,Shopping Mall,26.196549,-98.25959,3300 W Expressway 83
Texas Roadhouse,Steakhouse,26.190178,-98.20814,1224 E. Jackson Avenue
Delia's Tamales,Mexican Restaurant,26.234043023691886,-98.2244253132681,3400 N 10th St
Dillard's,Department Store,26.18501559193641,-98.23796929003022,2200 S 10th St
Macy's,Outlet Store,26.185299,-98.234749,2100 10th St
HomeGoods,Furniture and Home Store,26.186512031189032,-98.21467677281959,
H-E-B plus!,Grocery Store,26.179086567645324,-98.18934275344236,1300 S Cage Blvd
Costco,Warehouse or Wholesale Store,26.192782812770382,-98.20227204676024,1501 W Kelly Ave
H-E-B,Grocery Store,26.2894706,-98.1958991,2700 W Freddy Gonzalez Dr
T.J. Maxx,Department Store,26.265259,-98.16717,443 E Trenton Rd
Starbucks,Coffee Shop,26.19119786,-98.20644466,1401 E Jackson Ave
Whataburger,Burger Joint,26.26732315407431,-98.21968588438565,7101 N 10th St
Peter Piper Pizza,Pizzeria,26.17383925336399,-98.18651025828382,1715 S Cage Blvd
La Plaza Mall,Shopping Mall,26.1855091,-98.2363562,2200 S 10th St
Starbucks,Coffee Shop,26.188871092990656,-98.23295250532097,1700 S 10th St
Cheddar's Scratch Kitchen,American Restaurant,26.194859842570626,-98.25775154130875,3020 Expressway 83
Luby's,Comfort Food Restaurant,26.200299,-98.202269,1900 West Expressway 83
Sam's Club,Warehouse or Wholesale Store,26.272028308802895,-98.22131454203938,7601 N 10th St
Popeyes Louisiana Kitchen,Fried Chicken Joint,26.18964652334069,-98.16768481082794,619 S Veterans Blvd
Capellini Ristorante,Italian Restaurant,26.08277136557192,-98.27858833856976,Ejército Nacional 250
The Quarter : New Orleans Kitchen and Tap Room,Cajun and Creole Restaurant,26.237800504611858,-98.21179724655802,100 E Nolana Ave
H-E-B,Grocery Store,26.1895247,-98.2250848,200 US Expressway 83
Costco Gasoline,Fuel Station,26.19386149113989,-98.20444413500404,1501 W Kelly Ave
Las Pupusas del Itacate,Arepa Restaurant,26.090081958350112,-98.2943411940068,calle Matias canales
Saltgrass Steak House,Steakhouse,26.1948092870454,-98.25693905353546,3000 W Expressway 83
Yasuke,Japanese Restaurant,26.18208698745472,-98.23203345472488,2221 S 10th St
McAllen Convention Center,Convention Center,26.20027613210749,-98.25927935065019,700 Convention Center Blvd
Target,Big Box Store,26.244524423660057,-98.25434115455124,3600 W Nolana Ave
Burlington,Department Store,26.185745457698538,-98.21705025874974,500 E Expressway 83
Yard House,American Restaurant,26.188402367178284,-98.23598744375231,2200 S 10th St
Hobby Lobby,Arts and Crafts Store,26.1968604,-98.25572,3300 W Expressway 83 Unit 700
Tower Burger Co.,Burger Joint,26.181435900602224,-98.11192657532757,"505 E Bus Hwy 8, Unit 1"
Walgreens,Pharmacy,26.1853589,-98.2150768,701 E Ridge Rd
McAllen Motor Sports,Bicycle Store,26.234068,-98.206407,3608 N McColl Rd
iPistilli Trattoria Italiana by Capellini,Italian Restaurant,26.062617932595746,-98.3496526071337,Ave. Del Vergel #700-A
Starbucks,Coffee Shop,26.261316,-98.164825,525 E Trenton Rd
Lowe's,Hardware Store,26.1913416,-98.2031232,707 South Jackson Road
Starbucks,Coffee Shop,26.23588236765852,-98.20645333311768,
Olive Garden,Italian Restaurant,26.189483120659293,-98.226196142684,222 W Expressway 83
Dairy Queen,Ice Cream Parlor,26.199757936353958,-98.21157119949983,800 E US Highway 83
Academy Sports + Outdoors,Sporting Goods Retail,26.263145494605883,-98.16375374794006,651 East Trenton Road
Marshalls,Department Store,26.188132,-98.211874,900 E Expressway 83
La Estrella,Mexican Restaurant,26.067906,-98.315379,
Sam's Club,Warehouse or Wholesale Store,26.075557166974423,-98.31236456600182,Blvd. Hidalgo 1935
Walmart Supercenter,Big Box Store,26.183049827955553,-98.03847512615722,900 N. Salinas Boulevard
Academy Sports + Outdoors,Sporting Goods Retail,26.17525527604575,-97.9859983921051,535 E Expressway 83
Nike Factory Store,Sporting Goods Retail,26.1604219,-97.8887547,5001 E Expressway 83 Ste 120
Rio Grande Valley Premium Outlets,Outlet Mall,26.1629351,-97.8878256,5001 E Expressway 83
COACH Outlet,Fashion Accessories Store,26.160426,-97.88884,5001 E Expressway 83 Ste 610
T.J. Maxx,Department Store,26.1749691,-97.9836028,815 E Expressway 83
Bass Pro Shops,Sporting Goods Retail,26.1918957,-97.7218516,101 Bass Pro Dr
New York Deli II Harlingen,Deli,26.193669646903963,-97.6963119185674,122 N A St
Sam's Club,Warehouse or Wholesale Store,26.196697073809094,-97.72258146606318,621 N Expressway 77
Chick-fil-A,Fast Food Restaurant,26.1820546,-97.720396,1021 Dixieland Rd
Palma Sola Servicio SA de CV,Fuel Station,26.396186717076738,-99.02917770726847,Blvd. Valentin Barrera #287
